,text,likes,dislikes
0,"It was the grabbing his crotch, parading  the grounds with a woman over his shoulder and forcing a kiss on a female player that will bring him down. He demonstrates repeatedly his abuse of power.",0,0
1,"He got a bit carried away in the heat of the moment, he is Spanish after all, but the whole thing has turned into a witch hunt.",0,0
2,"FIFA saw zero problems with hosting the World Cup in Qatar, but now everyone is applauding FIFA because they take action one ONE person. One event that ended up costing workers their rights and lives, while this current event... over ONE kiss???!?",0,0
3,It was a kiss. Thats all .,0,0
4,"Why should Rubiales resign? Why should any employee accept to be pressurised into resigning? If an employer no longer wants a certain employee in his workforce, he should fire the employee. If the Spanish Football Federation wants Rubiales to go, they should terminate his contract. And face the risk of being attacked by his lawyers for wrongful termination and having to pay damages.",0,0
5,"Spanish Government should launch full public enquiry into sexism and misogyny at the Spanish FA !<br>Sounds like the complete Spanish FA delegates need to be replaced, not just Vilda &amp; Rubiales !",0,0
6,This video shows Jenni Hermoso did not at all lift up Rubiales. So who doctored the photos showing she lifted him up ?  Was it Rubiales ?,1,0
7,"Spanish culture is different, not English harassment culture",0,0
8,The mum locking herself in the church is no longer the weirdest thing - his uncle has now been on TV accusing him of much more.,0,0
9,This is a typical example of abuse of power.<br>We can all be sure that he has forced himself on lots of women outside of public when he was willing to do it in public and then double down on it.<br>He could have done it so much better and easier for him if he had excused it all and said it all happened in the heat of the moment and that he got carried away by the win.<br>But instead he has been desperate to not admit doing anything wrong and that she was very willing to kiss him the moment he grabbed her head and kissed her on the lips.<br>He has reacted like a typical sexist predator that thinks he can do whatever he wants to women because of his position of power.,0,0
10,"Если бы на месте этой женщины был бы мужчина, в Европе никто бы слова плохого на этот счёт не сказал)",0,0
11,It boils down to this: Does an employer have the right to force a kiss on an employee? How sad are workers rights that this is even a question?,0,0
12,He&#39;s holding on to his position like a mad Chihuahua on a slice of bacon 😂😂😂,1,0
13,Wish the media gave mire attentions on the 6000 people that died building the infamous world cup in quatar...,0,0
14,Well that’s his mom problem if she doesn’t want to eat I mean die. Who cares if she does while defending him.,0,0
15,This could have been no big deal but he doubled down and proved all the doubts true.,2,0
16,Why don’t they fire him? 🙃,1,0
17,Dude&#39;s a CREEP.,0,0
18,Poor guy. Got caught up in the moment. Winning the world cup is forgotten,0,0
19,Talk about kissing your future away.,0,0
20,THE TRUTH AT LAST...!!! <br>Jenny Hermoso is making history...,1,0
21,Good!,0,0
22,"LOLz at his momma drama of locking herself in a church 😂<br>So silly. He needs to resign and be held accountable for his assault, end of story.",0,0
23,"I have seen this type of kiss (quick peck while the head is grabbed from both sides) a couple of times in my life between (heterosexual ) men. Mostly in sports. It always happend when the one who got kissed just did something amazing. More common is the same type of kiss on the forehead, but sometimes it&#39;s full on the mouth when something especially great happened and emotions are on overdrive.<br>But when a man kisses a woman this way the considerations are different. The important thing is how the woman feels about it.",2,0
24,"Her son is a decent person, hold your ground!!!",0,0
25,They are hunting him indeed,0,0
26,"Well these lesbian football ⚽ players, probably don&#39;t enjoy so much a kiss from such a good looking sexy guy as much as other girls or gay guys like me. So I don&#39;t understand why people are complaining so much about the generosity of the stud...<br>It&#39;s also written in the bible, how we should appreciate god&#39;s first creation on earth, THE MALE. <br>It has probably to do with the secular education transmitted at Spanish schools nowadays... No biblical principles at all....",2,0
27,This is commonly cultural in the western countries.but that player is a captain and she is taking revenge on the team manager.,1,0
28,"Typical momma&#39;s boy. A mother who thinks it is her duty to defend her son even when he has clearly fouled, who thinks not of other mothers and feels the insatiate need to feed her ego through her child will raise a guy like this who thinks he is entitled to other people&#39;s bodies.",2,0
29,Good grief. Another reason to steer clear of XX&#39;s. My god. It won&#39;t be long until you get fired from your job if you make a pass at a random woman in a bar.,0,0
30,They are all fu*king feminists that are organizing all of that.,1,0
31,They all need to get sacked for first defending him. The entire federation has to go. Replace them all. The house obviously needs to be cleaned. 🧼 🧹,0,0
32,End &#39;woman&#39;s&#39; football now! They&#39;re obviously still to hysterical for adulting!!,1,0
33,What would have happened if she had kissed him?,0,0
34,"In the footage she lifted him &amp; he then lifts his legs, what&#39;s more interesting is her lifting one leg like when a girl is smitten by a kiss in the old days would lift their one leg as being kissed exactly what she did I&#39;m not saying he is right but why aren&#39;t they looking at that part of the body language.............................",0,0
35,"His mother also has somewhat to be commented on. Did she not encourage the gender respect, instead raising him by the traditional Machoism in Spain? She must be indoctrinated well by the unreasonable tradition. Out of time.",0,0
36,Poor mother! Stay there and have fun. You raised your son poorly.,0,0
